"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Audio","CN","EN","Author","Source"
"长尾理论",0.5,"PartialReading","Hard-knowledge","Marketing",0,0,"Business & Economics & Management","BEM",,"p","NA",,
"Blockbuster(爆款)",0.1,"RoughReading","Hard-knowledge","Marketing",,,"Business & Economics & Management","BEM","Audio","P",,"Anita Elberse",
"Free",0.5,"PartialReading","Hard-knowledge","Marketing",0,0,"Business & Economics & Management","BEM","Audio",,"NO",,
"Why We Buy: The Science of Shopping (顾客为什么购买)",0.01,"RoughReading","Fastfood-knowledge","Marketing",,,"Business & Economics & Management","BEM","Audio",,,"Paco Underhill",
"场景革命",0.5,"PartialReading","Fastfood-knowledge","Marketing Management",0,0,"Business & Economics & Management","BEM",,,"NA","吴声",
"商业的本质",,"HaveNotRead",,"Marketing Management",0,0,"Business & Economics & Management","BEM",,,,,
"相约星期二(Tuesdays with Morrie)",0.01,"RoughReading","Hard-knowledge","Meaning of life",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Morrie",
"走到人生的边上",0.01,"RoughReading","Hard-knowledge","Meaning of life",0,1,"Proses Essays and Poems","PEP","Audio","P","NA","Yang Jiang",
"The Disease To Please (取悦症)",0.01,"RoughReading","Hard-knowledge","Emotion Management",,,"Philosophy and Psychology","PHY","Audio",,,"Harriet B. Braiker",
"Listen to Music",0,"HaveNotRead","Hard-knowledge","Music Appreciation",0,1,"Art","ART",,"P","NA","Craig Wright",
"品牌洗脑(Brand Washed)",1,"ThroughReading","Fastfood-knowledge","Negotiation or persuasion",0,0,"Business & Economics & Management","BEM",,"P","P","Martin Lindstrom",
"洗脑术：怎样有逻辑地说服他人",1,"ThroughReading","Fastfood-knowledge","Negotiation or persuasion",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","高德",
"细节：如何轻松影响他人",0.01,"RoughReading","Fastfood-knowledge","Negotiation or persuasion",0,1,"Self-development","SDP","Audio","P","NO",,
"洗脑术",0.01,"RoughReading","Fastfood-knowledge","Negotiation or persuasion",0,1,"Self-development","SDP","Audio","P","NO",,
"谈判思考的技术",0.01,"RoughReading","Fastfood-knowledge","Negotiation or persuasion",,,"Self-development","SDP","Audio",,,"泷本哲史",
"Getting More(沃顿商学院最受欢迎的谈判课)",0.25,"PartialReading","Fastfood-knowledge","Negotiation or persuasion",0,0,"Self-development","SDP",,"P","NA","Stuart Diamond",
"影响力(Influence)",1,"ThroughReading","Fastfood-knowledge","Negotiation or persuasion",0,0,"Self-development","SDP",,"NO","P","Robert B Cialdini",
"Everything Is Negotiable (谈判是什么)",0.01,"RoughReading","Fastfood-knowledge","Negotiation or persuasion",,,"Self-development","SDP","Audio","P",,"Gavin Kennedy",
"Negotiating the Impossible (哈佛商学院谈判课)",0.01,"RoughReading","Fastfood-knowledge","Negotiation or persuasion",,,"Self-development","SDP","Audio",,,"Deepak Malhotra",
"大设计",0.01,"RoughReading","Hard-knowledge","Origin of the universe",0,1,"Physics","PHY","Audio","P","NA",,
"时间的形状",0.01,"RoughReading","Hard-knowledge","Origin of the universe",0,0,"Physics","PHY",,,,,
"上帝掷骰子吗？",,"HaveNotRead",,"Origin of the universe",0,0,"Physics","PHY",,,,,
"隐藏的现实：平行宇宙是什么？",,"HaveNotRead",,"Origin of the universe",0,0,"Physics","PHY",,,,,
"智慧书",0.01,"ThroughReading","Hard-knowledge","Philosophy of life",0,1,"Philosophy and Psychology","PPY","Audio","P","NA",,
"沉思录",0.01,"ThroughReading","Hard-knowledge","Philosophy of life",0,1,"Philosophy and Psychology","PPY","Audio","P","NA",,
"It Wasn't Your Fault (这不是你的错)",0.01,"RoughReading","Hard-knowledge","Psychic Trauma",,,"Philosophy and Psychology","PHY","Audio",,,"Beverly Engel LMFT",
"Interpretation of Dreams",0.01,"PartialReading","Meta-Knowledge","Psychoanalysis",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Sigismund Sholomo Freud",
"Animal Spirits(动物精神)",0.01,"RoughReading","Hard-knowledge","Psychological forces under global financial crisis",1,0,"Society and Culture","SOC",,,,,
"输赢心理学(Top Dog)",0.01,"RoughReading","Hard-knowledge","Psychology",0,1,"Philosophy and Psychology","PPY","Audio","P","NA",,
"乐观的偏见(The Optimism Bias)",1,"ThroughReading","Hard-knowledge","Psychology",0,0,"Philosophy and Psychology","PPY",,"P","NA","Tali Sharot",
"不靠谱的心理学(Psychobabble)",1,"ThroughReading","Hard-knowledge","Psychology",0,0,"Philosophy and Psychology","PPY",,"P","NA","Stephen Briers",
"Hillary's English-speaking World",0.3,"PartialReading",,"Public Speaking",0,0,"Other","OTH",,"P","NA",,
"美国白宫千年晚会演讲选集 ",0.1,"PartialReading",,"Public Speaking",0,0,"Other","OTH",,"E","NO",,
"演讲的力量(TED Talks: The Official TED Guide to Public Speaking)",0.01,"RoughReading","Fastfood-knowledge","Public Speaking",0,1,"Self-development","SDP","Audio","P","NO",,
"演说之禅",,"HaveNotRead",,"Public Speaking",0,0,"Self-development","SDP",,,,,
"每天最重要的2小时 (Two Awesome Hours)",0.01,"RoughReading","Fastfood-knowledge","Self management",1,1,"Self-development","SDP","Audio","P","NA","Josh Davis",
"The Start-up of you (至关重要的关系)",0.01,"RoughReading","Fastfood-knowledge","Career Development",,,"Self-development","SDP","Audio",,,"Reid Hoffman and Ben Casnocha",
"Working Identity: Unconventional Strategies for Reinventing Your Career(转行)",0.01,"RoughReading","Fastfood-knowledge","Career Development",0,1,"Self-development","SDP","Audio","NO","NO","Herminia Ibarra",
"靠谱",0.01,"RoughReading","Fastfood-knowledge","Career Development",,,"Self-development","SDP","Audio",,,"大石哲之",
"快节奏，慢生活(Mindful Tech)",0.01,"RoughReading","Fastfood-knowledge","Self management",0,1,"Self-development","SDP","Audio","P","NA","David M. Levy",
"逆转",0.01,"RoughReading","Fastfood-knowledge","Self management",0,1,"Self-development","SDP","Audio","NO","P","Malcolm Gladwell",
"高绩效教练",0.01,"RoughReading","Fastfood-knowledge","Self management",0,1,"Self-development","SDP","Audio","P","NO",,
"The 7 habits of highly effective people (高效能人士的7个习惯)",0.5,"RoughReading","Fastfood-knowledge","Self management",,,"Self-development","SDP","Audio","P",,"Stephen Covey",
"The 3rd Alternative (第3种选择)",0.01,"RoughReading","Fastfood-knowledge","Self management",,,"Self-development","SDP","Audio","P",,"Stephen Covey",
"Intimate Relationship(亲密关系)",1,"ThroughReading","Meta-Knowledge","Social Psychology",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Rowland S Miller and Daniel Perlman",
"The Crowd(乌合之众)",0.01,"RoughReading","Hard-knowledge","Social Psychology",0,0,"Philosophy and Psychology","PPY",,,,,
"Changing the Conversation(解决冲突的关键技巧)",0.01,"RoughReading","Fastfood-knowledge","Social Skill",0,1,"Self-development","SDP","Audio","NA","NO","Dana Caspersen & Joost Elffers ",
"所谓情商高，就是会说话",0.01,"RoughReading","Fastfood-knowledge","Social Skill",0,1,"Self-development","SDP","Audio",,,"佐佐木圭一",
"The Introverted Leader (内向者的沟通圣经)",0.01,"RoughReading","Fastfood-knowledge","Social Skill",0,1,"Self-development","SDP","Audio","NO","NO ","Jennifer B. Kahnweiler",
"蔡康永的说话之道",0.01,"RoughReading","Fastfood-knowledge","Social Skill",0,1,"Self-development","SDP","Audio","P","P",,
"The Power of Presence (存在感)",0.01,"RoughReading","Fastfood-knowledge","Career Development",,,"Self-development","SDP","Audio",,,"Kristi Hedges",
"Loud & Clear (如何实现有效社交)",0.01,"RoughReading","Fastfood-knowledge","Social Skill",0,1,"Self-development","SDP","Audio",,,"Karen Berg",
"how to win friends and influence people (人性的弱点)",0.01,"RoughReading","Fastfood-knowledge","Social Skill",1,0,"Self-development","SDP",,,,,
"安静的力量",0.01,"RoughReading","Fastfood-knowledge","Spiritual practice",0,0,"Self-development","SDP",,,,,
"精益创业",,"HaveNotRead","Fastfood-knowledge","Start business",0,1,"Business & Economics & Management","BEM","Audio","P","NA",,
"创业融资，从一个好故事开始",,"HaveNotRead","Fastfood-knowledge","Start business",0,1,"Business & Economics & Management","BEM","Audio","P","NO",,
"从0到1",1,"ThroughReading","Fastfood-knowledge","Start business",0,1,"Self-development","SDP","Audio","P","NO",,
"设计思维玩转创业",,"HaveNotRead","Fastfood-knowledge","Start business",0,1,"Self-development","SDP","Audio","E","NA",,
"简单思考",0.01,"RoughReading","Fastfood-knowledge","Start business",0,1,"Self-development","SDP",,,,"森川亮",
"抗压力",0.01,"RoughReading","Fastfood-knowledge","Stress Management",0,1,"Self-development","SDP","Audio","P","P",,
"麦肯锡精英的思考习惯",0.01,"RoughReading","Fastfood-knowledge","Stress Management",0,1,"Self-development","SDP","Audio","P","NA",,
